magnitude,114
accel,113
collision,113
distributions,113
form,113
license,113
ref,113
relative,113
bunches,112
center,112
ee,112
proton,112
recorded,112
ter,112
ec,111
effective,111
proposed,111
reactions,111
rousse,111
china,110
foils,110
measure,110
national,110
respect,110
made,109
oscillations,109
controlled,108
corde,108
krushelnick,108
non,108
previous,108
dla,107
faure,107
iii,107
increasing,107
many,107
onto,107
strongly,107
theoretical,107
top,107
tron,107
means,106
wilks,106
collisional,105
consistent,105
monte,105
protons,105
vector,105
applied,104
area,104
carlo,104
gain,104
leads,104
achieved,102
depends,102
does,102
figs,102
lorentz,102
brightness,101
comparison,101
good,101
taken,101
characteristic,100
reduced,100
theory,100
trapped,100
angles,99
being,99
central,99
increased,99
opt,99
photonics,99
ampli,98
experimentally,98
inset,98
la,98
thomas,98
ti,98
get,97
side,97
atomic,96
condition,96
coupling,96
detection,96
now,96
plotted,96
probe,96
approach,95
ex,95
generate,95
gives,95
highly,95
occurs,95
res,95
tunable,95
error,94
green,94
pre,94
ux,94
accepted,93
calder,93
enhanced,93
left,93
directly,92
facility,92
frame,92
lu,92
shape,92
simple,92
those,92
wiggler,92
yu,92
available,91
bright,91
features,91
foam,91
http,91
march,91
mechanisms,91
response,91
still,91
zepf,91
assuming,90
dt,90
rad,90
averaged,89
bulk,89
copper,88
cos,88
highest,88
known,88
recent,88
represents,88
best,87
cantly,87
go,87
mangles,87
meyer,87
ccd,86
double,86
including,86
vehn,86
according,85
author,85
cant,85
cation,85
fraction,85
must,85
polarization,85
provide,85
threshold,85
trajectory,85
trons,85
yan,85
box,84
drive,84
estimate,84
fundamental,84
irradiated,84
relatively,84
scitation,84
ultrafast,84
behind,83
close,83
fact,83
formed,83
future,83
harmonics,83
information,83
lters,83
preplasma,83
pw,83
recently,83
temperatures,83
underdense,83
assumed,82
detectors,82
ionized,82
linearly,82
picosecond,82
pm,82
states,82
enough,81
horizontal,81
ln,81
resonant,81
tens,81
brilliance,80
c2,80
comparable,80
created,80
di,80
materials,80
qed,80
thermal,80
vertical,80
hence,79
ip,79
particular,79
reaches,79
step,79
volume,79
become,78
characteristics,78
chosen,78
ma,78
mcnp,78
mori,78
numbers,78
schroeder,78
sections,78
tions,78
difference,77
dx,77
slightly,77
spec,77
umstadter,77
exit,76
magnet,76
mainly,76
observation,76
oscillation,76
relativistically,76
resolved,76
studies,76
suf,76
expression,75
geometry,75
initially,75
pump,75
rest,75
stage,75
diagnostic,74
huang,74
images,74
london,74
najmudin,74
profile,74
rep,74
trajectories,74
trans,74
transmission,74
collisions,73
leading,73
object,73
reach,73
received,73
st,73
stable,73
supplementary,73
tajima,73
waves,73
wide,73
development,72
grant,72
harmonic,72
multiple,72
optics,72
systems,72
water,72
activation,71
any,71
decreases,71
depth,71
diffraction,71
ep,71
how,71
loss,71
max,71
provides,71
represented,71
screen,71
studied,71
sub,71
supported,71
transmitted,71
air,70
broad,70
camera,70
consider,70
detected,70
do,70
finally,70
incidence,70
negligible,70
scales,70
tantalum,70
te,70
thicknesses,70
us,70
array,69
cavity,69
conclusion,69
developed,69
diagnostics,69
either,69
ns,69
perpendicular,69
points,69
scintillator,69
varying,69
week,69
beg,68
dotted,68
ending,68
facilities,68
gold,68
narrow,68
pc,68
propagates,68
repetition,68
ridgers,68
test,68
way,68
additional,67
allows,67
cold,67
dangor,67
emittance,67
eqs,67
hand,67
mj,67
optimal,67
parabolic,67
prl,67
relevant,67
rousseau,67
showing,67
term,67
although,66
clarke,66
filter,66
flux,66
injected,66
les,66
longer,66
n0,66
php,66
positrons,66
rather,66
right,66
rms,66
series,66
terms,66
carried,65
change,65
channels,65
es,65
inverse,65
technique,65
typically,65
yields,65
attosecond,64
characterized,64
class,64
crystal,64
e2,64
fully,64
had,64
latter,64
moving,64
orders,64
scalings,64
sin,64
submitted,64
take,64
ultrarelativistic,64
bell,63
coherent,63
interacting,63
perry,63
